id,entity string
0,concept:politicalparty:european_union
1,concept:awardtrophytournament:swiss
2,concept:blog:cbs_sportsline
3,concept:geopoliticallocation:palmas
4,concept:politicsissue:laws
5,concept:city:manchester
6,concept:location:broome_county_new
7,concept:geopoliticallocation:bangor
8,concept:clothing:white_linen_shirt
9,concept:governmentorganization:cfa
10,concept:sportsteam:tarleton_state_texans
11,concept:mammal:household_animals
12,concept:room:townhome
13,concept:city:branson
14,concept:politician:u_s__congress
15,concept:person:t_boone_pickens
16,concept:blog:picasso
17,concept:jobposition:former_associate
18,concept:city:trier
19,concept:bank:mastercard
20,concept:mammal:domestic_animals
21,concept:retailstore:play
22,concept:county:florence
23,concept:clothing:coats
24,concept:professionalorganization:ima
25,concept:company:whec
26,concept:company:red_herring
27,concept:personnorthamerica:kimo
28,concept:professionalorganization:fortune_magazine
29,concept:city:bogota
30,concept:televisionstation:kjla
31,concept:musicalbum:nine_days
32,concept:geopoliticalorganization:capitola
33,concept:website:nikkei
34,concept:radiostation:wtok
35,concept:city:boca_grande
36,concept:academicfield:munich
37,concept:profession:healthcare
38,concept:automobilemaker:des_moines
39,concept:emotion:reduction
40,concept:date:sept__29
41,concept:company:autos
42,concept:sportsteam:maryland_terrapins
43,concept:stateorprovince:rheinland_pfalz
44,concept:musicartist:hootie___the_blowfish
45,concept:city:southampton
46,concept:city:randolph
47,concept:stateorprovince:haute_garonne
48,concept:country:somalia
49,concept:stateorprovince:newark_nj
50,concept:academicfield:natural_gas
51,concept:criminal:bow_mar
52,concept:chemical:regional_offices
53,concept:city:clifton_park
54,concept:geopoliticalorganization:burkina_faso
55,concept:sportsteam:tennesse_titans
56,concept:vegetable:cherry_tomatoes
57,concept:city:santa_barbara_de_nexe
58,concept:bird:oystercatchers
59,concept:country:republic
60,concept:island:jennifer
61,concept:clothing:fleece_jackets
62,concept:bird:sichuan
63,concept:researchproject:pilot_project
64,concept:televisionstation:wctv
65,concept:male:president_g_w__bush
66,concept:stadiumoreventvenue:american_airlines_center
67,concept:university:raiders
68,concept:company:fedex
69,concept:politicsblog:guardian
70,concept:personmexico:jim_rogers
71,concept:website:daily_stock_price_record
72,concept:city:alsip
73,concept:female:nike
74,concept:clothing:white_cotton_shirt
75,concept:city:new_milford
76,concept:televisionstation:wicu_tv
77,concept:person:ron_allen
78,concept:city:streator
79,concept:country:brunei
80,concept:city:zanesville
81,concept:profession:examiner
82,concept:jobposition:managing_partner
83,concept:female:angels
84,concept:biotechcompany:northrop_grumman
85,concept:person:juan_carlos_osorio
86,concept:journalist:dwight_jaynes
87,concept:politicsblog:billboard
88,concept:journalist:steve_rushin
89,concept:company:discovery_communications
90,concept:profession:network
91,concept:celebrity:ryan_key
92,concept:journalist:fred_russell
93,concept:company:pdf_format
94,concept:room:contemporary
95,concept:sportsgame:directv
96,concept:city:aichi
97,concept:geopoliticalorganization:yunnan_province
98,concept:hotel:pan_pacific
99,concept:insect:spider_mites
100,concept:personsouthamerica:campo_grande
101,concept:journalist:linda_ellerbee
102,concept:stadiumoreventvenue:dodge_theatre
103,concept:visualizablething:lille
104,concept:city:new_plymouth
105,concept:chemical:seawater
106,concept:person:julie_aigner_clark
107,concept:company:african_airways
108,concept:personaustralia:david_sylvian
109,concept:profession:associations
110,concept:stateorprovince:cooperation
111,concept:sportsteam:ave_maria_gyrenes
112,concept:terroristorganization:militants
113,concept:geopoliticalorganization:asia
114,concept:politicalparty:zimbabwe_african_peoples_union
115,concept:geopoliticalorganization:maine
116,concept:geopoliticallocation:southern_africa
117,concept:personus:aaron_boone
118,concept:city:luxor
119,concept:sport:pool_water
120,concept:model:jonathan_hunt
121,concept:city:covina
122,concept:stateorprovince:aisne
123,concept:organization:nbs
124,concept:personus:dave_winfield
125,concept:physicalaction:trends
126,concept:programminglanguage:defence
127,concept:mountain:flaxville
128,concept:country:persia
129,concept:journalist:michael_wilbon
130,concept:website:twitter_com
131,concept:city:lyon
132,concept:geopoliticallocation:north_central
133,concept:governmentorganization:federal_ministry
134,concept:charactertrait:dwelling
135,concept:buildingfeature:resources
136,concept:clothing:fishnet_stockings
137,concept:city:campus
138,concept:musicartist:rodney_crowell
139,concept:musicartist:elbow
140,concept:governmentorganization:clients
141,concept:transportation:exemplary
142,concept:governmentorganization:amsterdam_court
143,concept:sportsteam:cal_st__fullerton_titans
144,concept:visualartist:plan
145,concept:eventoutcome:group
146,concept:company:wjct
147,concept:coach:document
148,concept:profession:agriculture
149,concept:beach:mexico_beach
150,concept:city:dispur
151,concept:vertebrate:pygmy_hippos
152,concept:personus:justin_hayward
153,concept:retailstore:homeland
154,concept:athlete:hisanori_takahashi
155,concept:coach:calipari
156,concept:geopoliticallocation:winter_springs
157,concept:company:ptc
158,concept:publication:market_data
159,concept:building:tunnels
160,concept:university:western_washington
161,concept:clothing:black_turtleneck
162,concept:publication:channel_4
163,concept:attraction:california_shows
164,concept:person:zynga
165,concept:hotel:regal
166,concept:bank:priority_international_mail
167,concept:personafrica:condoleezza_rice
168,concept:mlalgorithm:nodes
169,concept:scientist:professor_emeritus
170,concept:city:danvers
171,concept:biotechcompany:boeing
172,concept:company:disney_feature_animation
173,concept:clothing:canvas_shoes
174,concept:religion:tabernacle
175,concept:company:america_online
176,concept:personmexico:charlie_morton
177,concept:bedroomitem:zones
178,concept:language:modern_hebrew
179,concept:professionalorganization:apple_inc
180,concept:musicalbum:three
181,concept:male:h_w__bush
182,concept:governmentorganization:fed
183,concept:newspaper:wtvm
184,concept:biotechcompany:pain
185,concept:visualizablescene:essaouira
186,concept:clothing:underpants
187,concept:city:montauban
188,concept:company:olympic
189,concept:visualizableattribute:low_lying_areas
190,concept:book:bite
191,concept:professionalorganization:wood_flooring_association
192,concept:geopoliticalorganization:crescent_city
193,concept:bodypart:key_part
194,concept:politicianus:john_hagee
195,concept:geopoliticallocation:sumbe
196,concept:comedian:nate
197,concept:sportsteam:real_salt_lake
198,concept:city:lake_elsinore
199,concept:personnorthamerica:steve_pearlstein
200,concept:airport:southampton
201,concept:bank:registered_air_mail
202,concept:city:andover
203,concept:geopoliticallocation:suffield
204,concept:currency:dirham
205,concept:ceo:george_mitchell
206,concept:politician:arena
207,concept:actor:john_popper
208,concept:company:wonkette
209,concept:personaustralia:nick_cave
210,concept:buildingmaterial:head
211,concept:book:debates
212,concept:clothing:leggings
213,concept:person:eddy_hartenstein
214,concept:university:vanguard
215,concept:celltype:blood
216,concept:sport:yard
217,concept:mountainrange:rocky_mountains
218,concept:city:craig
219,concept:person:sheridan
220,concept:physicalaction:runs
221,concept:blog:conservative_party
222,concept:musicalbum:martin
223,concept:island:bainbridge_island
224,concept:geopoliticallocation:zionsville
225,concept:city:roseland
226,concept:vertebrate:ruminants
227,concept:sportsteam:reedley_college_tigers
228,concept:clothing:high_boots
229,concept:website:cent
230,concept:stateorprovince:country_india_state_andhra_pradesh
231,concept:city:monmouth_jct
232,concept:company:hot_bot
233,concept:geopoliticallocation:qatar
234,concept:clothing:knee_length_trousers
235,concept:publication:business_weekly
236,concept:radiostation:wmak
237,concept:county:mandan
238,concept:book:amsterdam
239,concept:newspaper:new_york_daily
240,concept:researchproject:further_evidence
241,concept:city:thomas
242,concept:city:st_dennis
243,concept:university:kings_college
244,concept:visualizablescene:woodland_hills
245,concept:city:cranston
246,concept:shoppingmall:berkshire
247,concept:musicartist:santana
248,concept:journalist:walter_anderson
249,concept:city:whakatane
250,concept:language:caq
251,concept:personaustralia:mike_ashley
252,concept:city:valladolid
253,concept:physicalaction:shoulder
254,concept:stateorprovince:north_carolina
255,concept:wine:breed
256,concept:vegetable:cottage_cheese
257,concept:nondiseasecondition:kingdom
258,concept:politicsblog:ninth_state
259,concept:county:n24_years
260,concept:landscapefeatures:red_rock
261,concept:coach:jay_mariotti
262,concept:stateorprovince:contact
263,concept:politicsblog:analysis
264,concept:hallwayitem:tank
265,concept:profession:engineering_associate
266,concept:company:detroit
267,concept:city:castres
268,concept:personus:jim_edmonds
269,concept:bank:volkswagen_of_america
270,concept:politicsblog:sirius_satellite_radio
271,concept:politician:thomas_l__friedman
272,concept:clothing:walking_shoes
273,concept:person:kerry
274,concept:mammal:wild_boar
275,concept:sportsteam:fresno_state
276,concept:musician:quest
277,concept:website:iphone
278,concept:street:next_step
279,concept:company:buzz
280,concept:geopoliticallocation:white_plains
281,concept:county:zephyrhills
282,concept:fungus:enrichment
283,concept:writer:philip_carter
284,concept:automobilemaker:fiat
285,concept:retailstore:ryder
286,concept:reptile:cross
287,concept:country:usa
288,concept:bathroomitem:handle
289,concept:sportsteam:tennessee_martin_skyhawks
290,concept:coach:marc_iavaroni
291,concept:magazine:vogue
292,concept:terroristorganization:fatah
293,concept:politicianus:democrats_john_edwards
294,concept:televisionshow:bachelor
295,concept:televisionstation:wsav
296,concept:newspaper:hollywood_reporter
297,concept:televisionstation:wjw
298,concept:city:seagoville
299,concept:person:andruw_jones
300,concept:academicfield:entrepreneurs
301,concept:stateorprovince:cuando_cubango
302,concept:musicartist:darius_rucker
303,concept:company:paris_match001
304,concept:governmentorganization:chairman
305,concept:geopoliticallocation:specialty
306,concept:website:the_new_york_post
307,concept:stadiumoreventvenue:post_gazette_pavilion_at_star_lake
308,concept:person:image
309,concept:coach:sister_in_law
310,concept:geopoliticalorganization:bucharest
311,concept:radiostation:wmt
312,concept:clothing:summer_shorts
313,concept:musician:jakob_dylan
314,concept:sportsteam:pace_university_setters
